country,customer_id,boxes_taken,activation_channel,state,recipe_score_count,recipe_score_freq,app_uses,app_store
AU,276,25,A,L,60,0.333333333,30,itunes
AU,277,65,C,C,55,0.909090909,0,
AU,278,200,F,W,70,0,0,
AU,279,20,A,N,45,0.666666667,0,
AU,280,90,N/A,N,70,0,25,itunes
AU,281,225,A,C,45,0,45,itunes
AU,282,65,C,C,85,0.176470588,65,itunes
AU,283,15,E,L,50,0,0,
AU,284,135,C,C,45,0,20,itunes
AU,285,80,E,N,60,0,0,itunes
AU,286,20,C,L,75,0,25,google
AU,287,40,G,W,75,0,35,itunes
AU,288,20,F,N,45,0,10,itunes
AU,289,25,F,N,45,0,0,
AU,290,125,C,T,75,0.333333333,30,itunes
AU,291,55,B,C,45,0,35,itunes
AU,292,45,A,C,45,0,45,itunes
AU,293,115,C,C,55,0,20,itunes
AU,294,45,C,N,N/A,0.333333333,0,
AU,295,25,B,C,45,0,35,itunes
AU,296,15,C,L,45,0,15,google
AU,297,130,F,C,45,0,25,google
AU,298,20,E,C,45,0.333333333,30,itunes
AU,299,70,C,N,45,0.666666667,5,itunes
AU,300,105,B,N,60,0,35,itunes
AU,301,175,B,N,75,0,15,itunes
AU,302,15,D,W,45,0,30,itunes
AU,303,15,C,C,60,0,20,itunes
AU,304,15,C,L,60,0,35,itunes
AU,305,135,C,W,65,0,0,
AU,306,140,C,C,55,0,35,itunes
AU,307,70,C,L,55,0.363636364,45,itunes
AU,308,100,F,C,75,0,70,itunes
AU,309,15,E,L,60,0.166666667,15,itunes
AU,310,135,C,N,45,0,30,itunes
AU,311,115,E,C,60,0,15,itunes
AU,312,25,G,C,60,0.25,25,itunes
AU,313,20,F,C,75,0,35,itunes
AU,314,20,C,W,45,0,50,itunes
AU,315,15,G,L,60,0,0,
AU,316,90,F,N,60,0,15,google
AU,317,190,A,L,45,0,15,google
AU,318,50,B,C,45,0,40,google
AU,319,20,F,N,55,0,25,google
AU,320,50,F,N,75,0,30,itunes
AU,321,25,F,W,75,0,40,itunes
AU,322,100,C,N,45,0,0,itunes
AU,323,35,C,N,75,0,20,itunes
AU,324,30,C,N,45,0,30,google
AU,325,170,G,N,45,1,40,itunes
AU,326,45,C,N,65,0,20,itunes
AU,327,200,F,C,75,0.2,25,itunes
AU,328,135,C,L,45,0.333333333,0,
AU,329,50,F,S,70,0,15,itunes
