customer_id,boxes_taken,activation_channel,state,score_count,score_freq,app_uses,app_store
111,25,A,N,45,0,45,app2
112,50,A,C,65,0,20,app2
113,60,F,N,60,0,35,app1
114,40,B,W,65,0,45,app2
115,15,A,N,75,0,0,
116,20,C,N,45,0,0,app2
117,15,B,C,60,0.166666667,30,app2
118,40,A,W,45,0,35,app1
119,130,C,N,60,0,20,app2
120,20,A,L,65,0,25,app2
121,20,C,N,45,0,15,app2
122,30,F,S,45,0.333333333,0,
123,25,C,C,50,0,35,app2
124,115,F,N,60,0,0,
125,20,C,S,45,0,40,app1
126,15,A,C,45,0,10,app1
127,15,D,C,45,0,0,
128,25,C,L,60,0.333333333,20,app2
129,95,C,L,60,0.333333333,20,app2
130,15,C,W,45,0,0,
131,15,C,L,75,0,5,app2
132,40,F,C,60,0,20,app2
133,150,C,W,65,0,40,app2
134,70,C,N,45,0.111111111,40,app2
135,20,C,L,45,0,25,app2
136,20,C,C,45,0.111111111,30,app2
137,225,C,S,75,0,30,app2
138,45,D,N,45,0,110,app2
139,15,B,N,45,0,15,app2
140,55,C,C,45,0,25,app2
141,25,C,L,75,0.2,40,app2
142,30,D,N,45,0,25,app2
143,65,B,S,45,0.555555556,15,app2
144,205,F,N,45,0,0,app2
145,65,F,C,60,0,25,app2
146,15,C,C,60,0,30,app1
147,125,A,C,75,0,45,app2
148,30,G,L,45,0,25,app2
149,150,C,L,60,0,30,app2
150,30,C,S,75,0,40,app2
151,25,N/A,N,45,0.222222222,60,app2
152,20,C,W,75,0,30,app1
153,105,C,A,60,0.333333333,0,app1
154,15,B,L,60,0,70,app2
155,205,G,C,45,0.444444444,0,app1
156,70,B,L,70,0,20,app1
157,85,F,C,45,0,20,app2
158,235,F,N,45,0,260,app1
159,30,F,C,60,0.083333333,20,app1
160,15,G,N,60,0,15,app2
161,245,F,L,75,0,0,app2
162,45,F,W,75,0,20,app2
163,70,N/A,L,45,0.222222222,25,app2
164,30,A,N,45,0,25,app2
165,110,C,L,60,0.416666667,20,app2
166,90,B,N,45,0,45,app2
167,90,F,L,55,0,15,app2
168,85,F,N,45,0,20,app2
169,25,A,L,60,0,40,app2
170,75,F,C,75,1,30,app2
171,45,B,L,45,0,35,app2
172,135,B,N,N/A,0,25,app2
173,60,E,A,45,0,20,app2
174,105,A,L,45,0.666666667,0,
175,20,F,W,45,0,5,app2
176,80,F,C,45,0,85,app2
177,55,C,N,75,0.4,20,app1
178,50,B,N,50,0,25,app1
179,60,D,N,45,0,25,app2
180,15,C,C,65,0,20,app2
181,85,F,C,45,0.333333333,15,app1
182,25,C,C,45,0,0,
183,15,A,N,55,0,25,app2
184,40,A,L,60,0.083333333,40,app2
185,195,B,N,45,0,20,app2
186,20,F,N,45,0,0,
187,230,F,N,45,0,10,app2
188,25,F,C,45,0,65,app2
189,15,C,C,45,0.333333333,15,app2
190,15,A,C,60,0,20,app2
191,20,C,L,45,0,55,app1
192,25,F,C,45,0,35,app1
193,120,F,C,60,0,0,app2
194,45,F,A,60,0,0,app1
195,240,C,L,55,0.272727273,40,app1
196,105,A,L,75,0,10,app2
197,35,C,N,60,0,15,app2
198,25,E,L,45,0,5,app2
199,100,A,C,75,0.266666667,30,app2
200,30,B,C,75,0,30,app1
201,15,C,L,55,0,25,app2
202,20,G,C,75,0,60,app2
203,25,C,C,60,0,30,app2
204,90,B,N,45,0,30,app2
205,45,C,N,45,0,60,app1
206,125,C,N,55,0,15,app2
207,100,C,C,45,0,0,
208,90,C,W,75,0,30,app2
209,20,A,W,45,0,35,app2
210,15,C,N,55,0,0,
211,40,C,W,75,0,15,app2
